variant,date_num,prob,SE,df,asymp.LCL,asymp.UCL,date,totcases,cases,smoothed_totcases,smoothed_cases
Omicron,18342,6.707611124454674e-44,4.9385836399732694e-43,NA,-9.008684956540864e-43,1.0350207181431797e-42,2020-03-21,38,NA,62.49940794369632,NA
Delta,18343,3.9714598621405825e-51,2.7404137216886627e-50,NA,-4.97396621103509e-50,5.768258183463207e-50,2020-03-22,34,NA,71.26189759479902,NA
Beta,18343,5.740171404795613e-7,1.916628370436798e-7,NA,1.9836488269917965e-7,9.496693982599429e-7,2020-03-22,34,NA,71.26189759479902,NA
Alpha,18343,2.847101622403647e-24,1.7295517109724073e-23,NA,-3.1051489006651815e-23,3.6745692251459115e-23,2020-03-22,34,NA,71.26189759479902,NA
C.1.2,18343,2.5449719454108786e-64,5.119127031283585e-63,NA,-9.778807419060182e-63,1.0287801808142357e-62,2020-03-22,34,NA,71.26189759479902,NA
Other,18343,0.9999994259828595,1.9166283705091428e-7,NA,0.9999990503306018,0.9999998016351173,2020-03-22,34,33.999980483417225,71.26189759479902,71.26185668924835
Omicron,18343,7.527008572331378e-44,5.527789423286947e-43,NA,-1.0081567326530712e-42,1.1586969040996987e-42,2020-03-22,34,NA,71.26189759479902,NA
Delta,18344,5.993766151900937e-51,4.12086436038944e-50,NA,-7.477369116347893e-50,8.67612234672808e-50,2020-03-23,128,NA,79.05283580448555,NA
Beta,18344,6.204631474487447e-7,2.0611353332624283e-7,NA,2.1648804540301267e-7,1.0244382494944767e-6,2020-03-23,128,NA,79.05283580448555,NA
Alpha,18344,3.5257664096474716e-24,2.1334069186156176e-23,NA,-3.828824083890437e-23,4.533977365819931e-23,2020-03-23,128,NA,79.05283580448555,NA
C.1.2,18344,4.205331368831265e-64,8.429051553898567e-63,NA,-1.610010433258944e-62,1.6941170606355693e-62,2020-03-23,128,NA,79.05283580448555,NA
Other,18344,0.9999993795368525,2.0611353330887622e-7,NA,0.9999989755617504,0.9999997835119545,2020-03-23,128,127.99992058071712,79.05283580448555,79.05278675511423
Omicron,18344,8.446655370456964e-44,6.1874190092940885e-43,NA,-1.1282452878429217e-42,1.2971783952520609e-42,2020-03-23,128,NA,79.05283580448555,NA
Delta,18345,9.04520206314574e-51,6.196178469835146e-50,NA,-1.1239766436344812e-49,1.304880684897396e-49,2020-03-24,152,NA,85.50934845411345,NA
Beta,18345,6.706533817637147e-7,2.2164376500963364e-7,NA,2.3623958494697386e-7,1.1050671785804555e-6,2020-03-24,152,NA,85.50934845411345,NA
Alpha,18345,4.366004319391979e-24,2.6314039762725985e-23,NA,-4.720856590330585e-23,5.59405745420898e-23,2020-03-24,152,NA,85.50934845411345,NA
C.1.2,18345,6.948315914786436e-64,1.3877730967955043e-62,NA,-2.6505021292849416e-62,2.7894684475806703e-62,2020-03-24,152,NA,85.50934845411345,NA
Other,18345,0.9999993293466182,2.216437649530187e-7,NA,0.9999988949328215,0.9999997637604149,2020-03-24,152,151.99989806068595,85.50934845411345,85.50929110697973
Omicron,18345,9.47884581102079e-44,6.925913481760803e-43,NA,-1.2626656403189499e-42,1.4522425565393657e-42,2020-03-24,152,NA,85.50934845411345,NA
Delta,18346,1.3649092618853103e-50,9.31581973298082e-50,NA,-1.6893761901224636e-49,1.9623580424995254e-49,2020-03-25,155,NA,90.4176074233906,NA
Beta,18346,7.248876706355706e-7,2.38333092852969e-7,NA,2.5776339231971097e-7,1.1920119489514303e-6,2020-03-25,155,NA,90.4176074233906,NA
Alpha,18346,5.406219456470121e-24,3.245441856832729e-23,NA,-5.820327207663934e-23,6.901571098957959e-23,2020-03-25,155,NA,90.4176074233906,NA
C.1.2,18346,1.1479388928037995e-63,2.2846144560947876e-62,NA,-4.362968163224968e-62,4.592555941785727e-62,2020-03-25,155,NA,90.4176074233906,NA
Other,18346,0.9999992751123294,2.3833309290707216e-7,NA,0.9999988079880511,0.9999997422366078,2020-03-25,155,154.99988764241107,90.4176074233906,90.41754188078178
Omicron,18346,1.0637386797071541e-43,7.752729547365206e-43,NA,-1.4131332015008161e-42,1.625880937442247e-42,2020-03-25,155,NA,90.4176074233906,NA
Delta,18347,2.0594653338791668e-50,1.4004833174491765e-49,NA,-2.538950329761644e-49,2.9508433965374773e-49,2020-03-26,218,NA,93.70071208760584,NA
Beta,18347,7.834896152712569e-7,2.5626683354121737e-7,NA,2.812158510983499e-7,1.285763379444164e-6,2020-03-26,218,NA,93.70071208760584,NA
Alpha,18347,6.693925787643465e-24,4.002500708974624e-23,NA,-7.175364658921948e-23,8.51414981645064e-23,2020-03-26,218,NA,93.70071208760584,NA
C.1.2,18347,1.8963375144000723e-63,3.7606232882761895e-62,NA,-7.181052453003912e-62,7.560319955883927e-62,2020-03-26,218,NA,93.70071208760584,NA
Other,18347,0.9999992165103848,2.5626683358597554e-7,NA,0.9999987142366206,0.9999997187841491,2020-03-26,218,217.9998291992639,93.70071208760584,93.70063867407099
Omicron,18347,1.1937784698568158e-43,8.678462318180394e-43,NA,-1.581569511496474e-42,1.8203252054678373e-42,2020-03-26,218,NA,93.70071208760584,NA
